timestamp,account_id,currency,debit,credit,balance,fx_rate,counterparty,transaction_type,risk_score
2023-01-01 00:00:00,ACC-0019,JPY,32384.43,0.0,864491.34,0.0067,CP-011,deposit,0.4569
2023-01-01 04:00:00,ACC-0012,CHF,29043.91,0.0,998682.1,1.12,CP-012,wire,0.1576
2023-01-01 08:00:00,ACC-0015,USD,26590.87,0.0,4871402.04,1.0,CP-015,fee,0.0352
2023-01-01 12:00:00,ACC-0007,GBP,0.0,1222.76,4313707.99,1.27,CP-009,fx_swap,0.1067
2023-01-01 16:00:00,ACC-0002,JPY,101335.98,0.0,178234.64,0.0067,CP-020,withdrawal,0.3358
2023-01-01 20:00:00,ACC-0036,JPY,0.0,26682.44,4555669.97,0.0067,CP-018,withdrawal,0.0017
2023-01-02 00:00:00,ACC-0018,EUR,0.0,16149.99,253435.13,1.08,CP-012,fx_swap,0.418
2023-01-02 04:00:00,ACC-0023,EUR,36923.33,0.0,533613.26,1.08,CP-008,interest,0.0514
2023-01-02 08:00:00,ACC-0045,CHF,0.0,23031.94,1476579.1,1.12,CP-009,interest,0.3171
2023-01-02 12:00:00,ACC-0033,CHF,0.0,29106.14,3672135.12,1.12,CP-005,fx_swap,0.2663
2023-01-02 16:00:00,ACC-0048,EUR,0.0,16563.17,1721400.32,1.08,CP-005,deposit,0.2927
2023-01-02 20:00:00,ACC-0014,JPY,3600.51,0.0,686011.81,0.0067,CP-003,wire,0.3011
2023-01-03 00:00:00,ACC-0015,CHF,1791.3,0.0,2661390.86,1.12,CP-010,withdrawal,0.4694
2023-01-03 04:00:00,ACC-0004,CHF,0.0,2990.86,2860050.3,1.12,CP-005,interest,0.2884
2023-01-03 08:00:00,ACC-0028,GBP,0.0,6787.69,3504446.17,1.27,CP-002,fx_swap,0.1824
2023-01-03 12:00:00,ACC-0020,CHF,0.0,5262.86,1170358.14,1.12,CP-011,fx_swap,0.2866
2023-01-03 16:00:00,ACC-0013,JPY,0.0,12909.24,3273681.59,0.0067,CP-009,deposit,0.1383
2023-01-03 20:00:00,ACC-0015,GBP,0.0,19775.82,1754314.34,1.27,CP-009,withdrawal,0.0867
2023-01-04 00:00:00,ACC-0003,USD,0.0,42300.85,3511890.94,1.0,CP-017,interest,0.2467
2023-01-04 04:00:00,ACC-0001,USD,22088.3,0.0,1790849.12,1.0,CP-019,fee,0.0252
2023-01-04 08:00:00,ACC-0011,EUR,98251.74,0.0,3004213.95,1.08,CP-017,fee,0.582
2023-01-04 12:00:00,ACC-0033,CHF,29342.85,0.0,542419.87,1.12,CP-009,withdrawal,0.6571
2023-01-04 16:00:00,ACC-0019,GBP,0.0,4982.57,3420065.37,1.27,CP-003,deposit,0.151
2023-01-04 20:00:00,ACC-0018,JPY,26816.8,0.0,1995003.2,0.0067,CP-008,wire,0.2744
2023-01-05 00:00:00,ACC-0026,GBP,0.0,17837.25,3333921.83,1.27,CP-016,wire,0.1668
2023-01-05 04:00:00,ACC-0037,JPY,16224.55,0.0,4496357.21,0.0067,CP-009,wire,0.0618
2023-01-05 08:00:00,ACC-0033,GBP,5435.59,0.0,2082089.82,1.27,CP-020,deposit,0.0317
2023-01-05 12:00:00,ACC-0025,USD,0.0,11314.41,145065.55,1.0,CP-003,wire,0.2542
2023-01-05 16:00:00,ACC-0041,CHF,0.0,7149.55,2297278.3,1.12,CP-004,wire,0.5804
2023-01-05 20:00:00,ACC-0007,JPY,0.0,57929.78,3283201.21,0.0067,CP-003,wire,0.2462
2023-01-06 00:00:00,ACC-0030,USD,113667.26,0.0,1327262.91,1.0,CP-006,fee,0.0441
2023-01-06 04:00:00,ACC-0033,CHF,0.0,7044.93,1815384.2,1.12,CP-015,wire,0.2616
2023-01-06 08:00:00,ACC-0017,CHF,0.0,139196.9,3865914.67,1.12,CP-012,withdrawal,0.0094
2023-01-06 12:00:00,ACC-0029,CHF,0.0,16361.17,4770052.05,1.12,CP-017,fee,0.152
2023-01-06 16:00:00,ACC-0003,CHF,47475.95,0.0,1415526.8,1.12,CP-018,wire,0.1791
2023-01-06 20:00:00,ACC-0032,EUR,31503.75,0.0,576164.82,1.08,CP-015,fee,0.5289
2023-01-07 00:00:00,ACC-0009,EUR,0.0,51274.99,4258482.0,1.08,CP-011,fee,0.3549
2023-01-07 04:00:00,ACC-0007,CHF,0.0,77571.7,3096417.18,1.12,CP-004,interest,0.1531
2023-01-07 08:00:00,ACC-0023,JPY,47700.09,0.0,4461026.17,0.0067,CP-015,withdrawal,0.1954
2023-01-07 12:00:00,ACC-0022,EUR,0.0,24268.18,2381430.29,1.08,CP-017,withdrawal,0.0246
2023-01-07 16:00:00,ACC-0044,EUR,44656.01,0.0,2658991.97,1.08,CP-012,interest,0.1004
2023-01-07 20:00:00,ACC-0040,JPY,18726.08,0.0,3527609.83,0.0067,CP-020,interest,0.3874
2023-01-08 00:00:00,ACC-0028,EUR,52400.99,0.0,1427078.03,1.08,CP-005,fx_swap,0.1886
2023-01-08 04:00:00,ACC-0001,CHF,0.0,89064.55,385148.62,1.12,CP-015,fx_swap,0.2032
2023-01-08 08:00:00,ACC-0003,USD,18864.81,0.0,3097431.66,1.0,CP-012,fx_swap,0.4954
2023-01-08 12:00:00,ACC-0026,GBP,22190.97,0.0,2423451.76,1.27,CP-016,interest,0.2324
2023-01-08 16:00:00,ACC-0005,JPY,0.0,99748.08,3117665.48,0.0067,CP-004,fx_swap,0.3901
2023-01-08 20:00:00,ACC-0005,JPY,0.0,2925.45,4296800.22,0.0067,CP-013,withdrawal,0.7044
2023-01-09 00:00:00,ACC-0050,EUR,0.0,32358.13,2919823.47,1.08,CP-003,withdrawal,0.0378
2023-01-09 04:00:00,ACC-0033,USD,0.0,34342.43,1991902.93,1.0,CP-008,fx_swap,0.0213
2023-01-09 08:00:00,ACC-0026,GBP,0.0,24321.64,1662980.59,1.27,CP-010,fx_swap,0.0623
2023-01-09 12:00:00,ACC-0011,EUR,0.0,97564.0,1806849.36,1.08,CP-004,wire,0.012
2023-01-09 16:00:00,ACC-0035,CHF,110838.05,0.0,2885749.39,1.12,CP-017,deposit,0.4169
2023-01-09 20:00:00,ACC-0037,JPY,0.0,33460.14,4660710.9,0.0067,CP-012,wire,0.3486
2023-01-10 00:00:00,ACC-0020,CHF,31342.89,0.0,2718204.62,1.12,CP-016,wire,0.4026
2023-01-10 04:00:00,ACC-0019,CHF,16208.32,0.0,4757975.02,1.12,CP-015,interest,0.039
2023-01-10 08:00:00,ACC-0023,CHF,0.0,60246.15,3786635.19,1.12,CP-016,wire,0.359
2023-01-10 12:00:00,ACC-0009,CHF,90683.33,0.0,4846394.53,1.12,CP-010,fx_swap,0.1214
2023-01-10 16:00:00,ACC-0009,JPY,12920.89,0.0,1190624.45,0.0067,CP-018,deposit,0.355
2023-01-10 20:00:00,ACC-0045,EUR,0.0,79082.7,2948396.54,1.08,CP-001,fee,0.0237
2023-01-11 00:00:00,ACC-0031,JPY,0.0,9310.62,1816069.41,0.0067,CP-019,interest,0.2479
2023-01-11 04:00:00,ACC-0003,JPY,42882.98,0.0,644867.66,0.0067,CP-013,interest,0.048
2023-01-11 08:00:00,ACC-0013,EUR,0.0,16135.93,3755619.91,1.08,CP-017,wire,0.2482
2023-01-11 12:00:00,ACC-0037,USD,0.0,3482.63,4965527.5,1.0,CP-004,deposit,0.2951
2023-01-11 16:00:00,ACC-0031,GBP,113788.06,0.0,3509168.58,1.27,CP-001,interest,0.1219
2023-01-11 20:00:00,ACC-0028,GBP,109490.15,0.0,1459167.8,1.27,CP-004,fx_swap,0.2425
2023-01-12 00:00:00,ACC-0027,EUR,0.0,39911.76,1373754.33,1.08,CP-017,wire,0.4014
2023-01-12 04:00:00,ACC-0035,USD,0.0,75728.74,752607.11,1.0,CP-006,fx_swap,0.2039
2023-01-12 08:00:00,ACC-0050,GBP,66011.66,0.0,4670369.57,1.27,CP-013,interest,0.5494
2023-01-12 12:00:00,ACC-0026,USD,17030.76,0.0,1946020.95,1.0,CP-017,interest,0.0041
2023-01-12 16:00:00,ACC-0006,USD,0.0,79721.38,376239.93,1.0,CP-017,interest,0.1798
2023-01-12 20:00:00,ACC-0010,CHF,75811.67,0.0,4729352.08,1.12,CP-019,wire,0.0937
2023-01-13 00:00:00,ACC-0032,CHF,0.0,68429.51,3391333.35,1.12,CP-002,withdrawal,0.1606
2023-01-13 04:00:00,ACC-0001,EUR,0.0,63773.16,1608108.47,1.08,CP-012,interest,0.0275
2023-01-13 08:00:00,ACC-0039,GBP,0.0,32268.8,3549990.86,1.27,CP-006,withdrawal,0.4106
2023-01-13 12:00:00,ACC-0034,EUR,0.0,86543.66,2243627.12,1.08,CP-020,wire,0.4333
2023-01-13 16:00:00,ACC-0005,USD,81430.78,0.0,4325582.17,1.0,CP-004,fx_swap,0.414
2023-01-13 20:00:00,ACC-0002,USD,0.0,14069.26,4902159.62,1.0,CP-013,fee,0.4994
2023-01-14 00:00:00,ACC-0016,GBP,24254.71,0.0,2354583.88,1.27,CP-011,fee,0.6188
2023-01-14 04:00:00,ACC-0029,JPY,0.0,37368.4,2422412.04,0.0067,CP-018,interest,0.0872
2023-01-14 08:00:00,ACC-0022,EUR,0.0,25161.87,1803334.15,1.08,CP-006,wire,0.3136
2023-01-14 12:00:00,ACC-0045,CHF,0.0,27682.47,2566744.63,1.12,CP-009,fx_swap,0.3594
2023-01-14 16:00:00,ACC-0048,USD,0.0,6125.27,869190.65,1.0,CP-017,fx_swap,0.592
2023-01-14 20:00:00,ACC-0022,JPY,36820.61,0.0,1125811.68,0.0067,CP-014,fx_swap,0.1739
2023-01-15 00:00:00,ACC-0007,JPY,0.0,82248.39,279747.69,0.0067,CP-003,fee,0.0747
